Player,UMAP1,UMAP2
Nikola Milenković,10.049648,3.4836385
Noni Madueke,1.3632584,2.730598
Noussair Mazraoui,5.5188656,2.0561962
Nélson Semedo,5.0640855,2.6339767
Odsonne Édouard,7.330677,7.4410186
Ola Aina,5.437175,2.2998185
Oleksandr Zinchenko,7.638032,5.837068
Oliver Scarles,8.230188,7.001498
Oliver Skipp,8.243325,5.6721683
Ollie Watkins,3.610377,6.2148533
Omar Marmoush,4.9193006,6.504178
Omari Hutchinson,5.0219173,3.5296614
Orel Mangala,7.884291,5.190023
Pablo Sarabia,5.1706476,6.0319314
Pape Matar Sarr,6.062821,2.941616
Patrick Dorgu,8.165938,5.4113426
Patson Daka,6.89421,7.237075
Pau Torres,10.349688,5.375187
Paul Onuachu,5.1076627,7.0475802
Pedro Neto,1.5312034,2.866315
Pedro Porro,4.0601397,2.1474037
Pervis Estupiñán,4.7445207,2.5628874
Phil Foden,2.1939628,3.1653132
Philip Billing,7.319209,6.7449837
Radu Drăgușin,9.313506,5.440321
Raheem Sterling,6.4184456,5.634104
Ramón Sosa,6.3854127,6.964696
Rasmus Højlund,5.587663,6.827405
Rayan Aït-Nouri,4.340882,2.4627745
Raúl Jiménez,3.8288102,6.319223
Reece James,7.8481483,5.190946
Reiss Nelson,5.7004952,5.8998823
Renato Veiga,9.322749,6.9113903
Ricardo Pereira,9.581093,6.732879
Riccardo Calafiori,8.061968,4.0033193
Richarlison,4.8673844,7.029713
Rico Lewis,6.2945514,2.908612
Robert Sánchez,10.557931,7.502324
Robin Olsen,10.36336,7.5157456
Rodrigo Bentancur,6.8636703,2.6437159
Rodrigo Gomes,6.213764,6.3828425
Rodrigo Muniz,4.8147335,7.0142593
Roméo Lavia,8.418256,5.872218
Ross Barkley,7.599891,4.481457
Ross Stewart,8.65518,6.670447
Ryan Christie,5.086514,2.1150599
Ryan Fraser,9.528413,6.504547
Ryan Gravenberch,5.3762603,2.0197852
Ryan Manning,6.112823,3.890105
Ryan Sessegnon,5.1628,6.396164
Ryan Yates,7.0904984,2.9003408
Rúben Dias,9.709398,2.471372
Sam Johnstone,10.070025,8.067294
Sam Morsy,6.0522966,2.1642632
Sammie Szmodics,5.350698,7.032556
Sander Berge,9.409263,4.3974943
Sandro Tonali,5.6004887,2.3480668
Santiago Bueno,9.019123,4.325175
Saša Lukić,5.4063945,2.539327
Sean Longstaff,8.636645,5.4289894
Sepp van den Berg,10.279965,3.1265671
Sergio Reguilón,9.018923,6.464901
Simon Adingra,5.5835876,5.1278324
Solly March,7.0860896,5.776343
Son Heung-min,1.4174236,2.6299813
Stefan Ortega,9.9438505,7.3530226
Stephy Mavididi,4.9774466,3.6086721
Sven Botman,9.015284,6.441107
Sávio,1.260599,2.700251
Séamus Coleman,9.688298,6.4815907
Taiwo Awoniyi,5.744771,7.1118793
Tariq Lamptey,6.4548836,6.1887717
Taylor Harwood-Bellis,10.235809,2.5627463
Thiago,8.8645,6.5556235
Thomas Partey,5.57069,1.9889426
Tim Iroegbunam,8.17872,5.787972
Timo Werner,6.069399,5.5578957
Timothy Castagne,6.8246837,2.975036
Toby Collyer,8.739975,6.265526
Tom Cairney,7.3675895,4.971307
Tommy Doyle,7.375328,5.7664866
Tomáš Souček,7.539801,3.4384742
Tosin Adarabioyo,10.333536,5.6606684
Toti Gomes,9.925516,3.0733778
Trent Alexander-Arnold,3.923569,1.9749795
Trevoh Chalobah,8.18497,4.0103354
Trevoh Chalobah,9.192636,5.6167555
Tyler Adams,6.3601594,2.4471803
Tyler Dibling,5.2292027,4.000824
Tyler Fredricson,10.461706,6.3306093
Tyrell Malacia,10.393389,6.3488593
Tyrick Mitchell,4.8122487,2.884531
Tyrique George,5.5729113,5.741813
Tyrone Mings,10.473733,5.827105
Valentino Livramento,4.9885817,2.4592276
Victor Bernth Kristiansen,5.256924,2.5389912
Victor Lindelöf,9.164003,7.0061064
Virgil van Dijk,9.778678,2.4580078
Vitaliy Mykolenko,5.303314,2.7074504
Vitaly Janelt,6.632927,2.898963
Vladimír Coufal,8.43314,5.35174
Wataru Endo,10.361926,6.22282
Welington,7.5409822,5.936443
Wes Burns,6.494158,6.2110424
Wesley Fofana,9.497304,5.3402987
Wilfred Ndidi,6.326385,2.482828
Will Hughes,5.4568753,2.9678802
William Osula,5.098256,7.102523
William Saliba,9.823358,2.5379457
William Smallbone,7.8325806,5.1581464
Willian,7.917938,6.859747
Willy Boly,9.648053,6.454727
Wilson Odobert,6.088252,6.308822
Wout Faes,10.254799,2.873636
Woyo Coulibaly,7.3517466,7.3734565
Yankuba Minteh,1.6946224,3.1484778
Yasin Ayari,5.509106,3.0336807
Yehor Yarmoliuk,6.961952,2.979591
Yerson Mosquera,8.955354,6.0091004
Yoane Wissa,3.5901344,6.1808996
Youri Tielemans,3.964687,1.8909246
Yukinari Sugawara,6.2735415,3.9614952
Yves Bissouma,6.8374033,3.1796784
Álex Moreno,7.0365734,3.8514576
İlkay Gündoğan,2.8087406,2.8212066
Łukasz Fabiański,10.474816,6.711675
