,Name,Nation,Team,Position,Age,Matches Played,Starts,Minutes,Goals,Assists,Yellow Cards,Red Cards,Expected Goals (xG),Expected Assist Goals (xAG),Progressive Carries (PrgC),Progressive Passes (PrgP),Progressive Passes Received (PrgR),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Passes Completed (Cmp),Pass Completion Percentage (Cmp%),Total Passing Distance (TotDist),Short Pass Completion Percentage,Medium Pass Completion Percentage,Long Pass Completion Percentage,Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Crosses into Penalty Area (CrsPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles (Tkl),Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocks,Blocked Shots (Sh),Blocked Passes (Pass),Interceptions (Int),Touches,Touches in Defensive Penalty Area,Touches in Defensive Third,Touches in Middle Third,Touches in Attacking Third,Touches in Attacking Penalty Area,Take-Ons (Att),Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Miscontrols (Mis),Dispossessed (Dis),Passes Received (Rec),Fouls Committed (Fls),Fouls Drawn (Fld),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won (Won),Aerials Lost (Lost),Aerials Won Percentage (Won%),market_value,rating
174,Lucas Bergvall,SWE,Tottenham,MF,19,27,11,1212.0,0,1,3,0,0.7,0.6,33,49,31,0.0,0.07,0.05,0.04,N/a,N/a,N/a,N/a,16.7,0.15,0.0,19.9,629,87.4,10567,91.9,89.8,74.6,11,53,7,3,22,1.63,4,0.3,39,19,32,15,18,8,10,24,885,36,188,478,232,22,45,46.7,44.4,531,1634,21,4,20,19,586,20,17,0,21,73,9,8,52.9,€32.6M,67.0/83.0
175,Lucas Digne,FRA,Aston Villa,DF,31,31,27,2261.0,0,4,4,0,0.8,4.4,23,55,140,0.0,0.16,0.03,0.17,N/a,N/a,N/a,N/a,23.1,0.12,0.0,22.7,932,75.2,15153,88.2,78.8,40.1,35,43,29,18,63,2.51,5,0.2,63,37,64,21,23,4,19,25,1485,93,520,449,526,28,19,47.4,47.4,672,1328,14,4,17,16,808,20,14,7,138,100,35,27,56.5,€13.6M,71.2/71.2
176,Lucas Paquetá,BRA,West Ham,"MF,FW",27,31,27,2336.0,4,0,9,0,5.2,3.1,22,145,82,0.15,0.0,0.2,0.12,N/a,N/a,N/a,N/a,7.9,0.12,0.05,19.6,1088,77.3,18064,83.7,79.6,64.4,36,125,43,4,79,3.04,6,0.23,66,37,54,27,28,4,24,17,1738,62,360,957,435,57,43,41.9,46.5,891,1300,32,2,53,50,1220,52,62,6,28,146,48,57,45.7,€71.2M,76.0/78.0
177,Luis Díaz,COL,Liverpool,FW,28,33,26,2225.0,12,5,2,0,10.0,4.9,103,103,269,0.49,0.2,0.4,0.2,N/a,N/a,N/a,N/a,41.5,1.09,0.18,13.5,697,84.3,11124,88.6,86.0,82.4,54,45,43,6,116,4.69,16,0.65,33,21,34,21,18,0,18,7,1109,15,78,382,668,155,111,45.9,43.2,733,2803,53,55,51,43,878,48,30,10,30,98,12,33,26.7,€71M,86.5/86.5
178,Luke Woolfenden,ENG,Ipswich Town,DF,26,15,12,1187.0,0,0,2,0,0.0,0.0,7,15,0,0.0,0.0,0.0,0.0,N/a,N/a,N/a,N/a,0.0,0.0,0.0,12.9,496,88.3,9196,96.7,93.8,52.7,0,31,0,0,2,0.15,0,0.0,9,6,5,3,21,14,7,19,694,147,407,278,9,3,0,,,368,1249,3,0,4,0,442,5,2,1,0,38,15,15,50.0,€2M,65.0/68.3
179,Mads Hermansen,DEN,Leicester City,GK,24,27,27,2385.0,0,0,1,0,0.0,0.0,0,1,0,0.0,0.0,0.0,0.0,2.19,64.5,3.7,25.0,,0.0,,,654,61.0,17066,97.4,94.8,32.7,0,20,1,0,3,0.11,0,0.0,1,1,1,0,1,0,1,0,1147,831,1106,43,0,0,1,100.0,0.0,734,1904,0,0,1,0,625,0,3,0,0,17,4,1,80.0,€19.8M,62.5/70.5
180,Malo Gusto,FRA,Chelsea,DF,21,29,19,1832.0,0,1,4,0,1.7,1.3,49,119,84,0.0,0.05,0.08,0.06,N/a,N/a,N/a,N/a,18.2,0.2,0.0,21.3,1176,86.5,19189,93.2,88.3,61.3,21,109,18,6,57,2.8,4,0.2,43,28,47,23,29,8,21,23,1563,60,378,758,440,43,16,25.0,68.8,865,2195,35,8,16,17,1053,20,19,2,51,116,8,15,34.8,€32.8M,75.6/88.2
181,Manuel Akanji,SUI,Manchester City,DF,29,23,20,1744.0,0,0,3,0,0.7,0.4,38,138,6,0.0,0.0,0.04,0.02,N/a,N/a,N/a,N/a,10.0,0.05,0.0,16.3,1427,93.9,23477,95.9,95.4,75.3,9,153,11,2,34,1.75,2,0.1,16,11,13,5,11,8,3,7,1635,111,487,797,353,11,2,100.0,0.0,1071,3362,52,0,4,5,1291,16,9,0,11,89,26,29,47.3,€42.8M,79.9/82.7
182,Marc Cucurella,ESP,Chelsea,DF,26,33,30,2718.0,4,1,10,1,2.6,2.1,31,107,108,0.13,0.03,0.09,0.07,N/a,N/a,N/a,N/a,40.9,0.3,0.18,16.5,1569,88.0,24756,93.9,90.1,57.0,19,112,12,3,48,1.59,5,0.17,59,39,53,27,45,14,31,25,2075,109,637,958,490,73,13,30.8,53.8,882,2180,18,2,26,6,1287,34,33,3,29,119,30,51,37.0,€39.4M,75.7/78.7
183,Marc Guéhi,ENG,Crystal Palace,DF,24,33,33,2969.0,3,2,9,1,2.0,1.5,22,128,10,0.09,0.06,0.06,0.05,N/a,N/a,N/a,N/a,46.7,0.21,0.2,10.7,1419,83.3,27112,90.7,89.0,55.1,15,130,11,3,41,1.24,5,0.15,56,31,46,16,54,22,32,25,2056,298,1007,914,146,38,15,80.0,13.3,1099,2891,17,1,16,17,1283,23,26,1,13,137,68,57,54.4,€54.2M,79.0/83.7
184,Marcos Senesi,ARG,Bournemouth,DF,27,15,12,1014.0,0,0,5,0,0.8,0.2,12,51,5,0.0,0.0,0.07,0.02,N/a,N/a,N/a,N/a,0.0,0.0,0.0,6.0,493,76.6,10211,88.0,85.9,49.7,3,73,12,3,16,1.42,1,0.09,35,21,30,16,15,7,8,11,783,67,349,376,67,12,9,55.6,44.4,483,1465,14,0,6,5,493,19,7,0,10,67,23,27,46.0,€20.4M,69.2/70.7
185,Marcus Rashford,ENG,Manchester Utd,"FW,MF",27,15,12,978.0,4,1,2,0,1.7,2.1,20,21,79,0.37,0.09,0.16,0.19,N/a,N/a,N/a,N/a,56.3,0.83,0.25,16.4,253,73.8,3508,83.6,65.9,50.0,15,13,16,8,29,2.67,1,0.09,7,4,9,6,8,0,8,4,440,3,35,189,222,34,39,23.1,66.7,293,728,19,12,14,6,341,8,7,7,27,24,5,7,41.7,€53.6M,79.1/79.2
186,Marcus Tavernier,ENG,Bournemouth,"FW,MF",26,26,17,1670.0,3,5,5,0,5.3,2.8,41,102,106,0.16,0.27,0.29,0.15,N/a,N/a,N/a,N/a,30.0,0.81,0.06,20.2,553,72.5,9408,85.9,78.3,44.9,36,64,30,9,85,4.58,11,0.59,41,24,26,16,16,3,13,5,1000,18,114,385,523,51,57,42.1,49.1,567,1622,40,7,39,43,641,28,23,4,91,101,25,31,44.6,€24.4M,71.8/74.8
