Name,Cluster,UMAP1,UMAP2,Progressive Carries (PrgC),Goals per 90,Assists per 90,xG per 90,xAG per 90,Goals Against per 90 (GA90),Save Percentage (Save%),Clean Sheets Percentage (CS%),Penalty Kicks Save Percentage,Shots on Target Percentage (SoT%),Shots on Target per 90 (SoT/90),Goals per Shot (G/Sh),Average Shot Distance (Dist),Pass Completion Percentage (Cmp%),Key Passes (KP),Passes into Final Third (1/3),Passes into Penalty Area (PPA),Shot-Creating Actions (SCA),SCA per 90,Goal-Creating Actions (GCA),GCA per 90,Tackles Won (TklW),Challenges (Tkl),Challenges Lost (TklD),Blocked Shots (Sh),Interceptions (Int),Touches in Attacking Third,Take-On Success Percentage (Succ%),Take-On Tackled Percentage (Tkl%),Carries,Progressive Carrying Distance (TotDist),Carries into Final Third (1/3),Carries into Penalty Area (CPA),Passes Received (Rec),Progressive Passes Received (PrgR),Offsides (Off),Crosses (Crs),Ball Recoveries (Recov),Aerials Won Percentage (Won%)
Bernardo Silva,1,4.213931,2.5491507,94,0.11,0.15,0.12,0.16,1.4849999999999999,68.15,17.9,0.0,35.7,0.37,0.11,12.9,87.1,47,75,33,83,3.11,8,0.3,34,52,28,7,20,777,45.8,42.4,1137,3650,60,31,1346,184,3,54,93,33.3
Bernd Leno,0,10.044584,7.356606,0,0.0,0.03,0.0,0.0,1.34,68.3,14.3,0.0,30.0,0.0,0.06,16.4,81.5,2,16,2,5,0.14,2,0.06,2,2,0,0,0,0,45.0,43.8,892,2023,0,0,799,0,0,0,48,100.0
Beto,2,4.547837,6.779263,12,0.5,0.0,0.47,0.06,1.4849999999999999,68.15,17.9,0.0,50.0,1.42,0.18,13.2,57.1,8,5,4,17,1.21,0,0.0,6,8,3,1,3,204,53.1,43.8,221,390,9,9,309,66,14,3,30,45.9
Bilal El Khannouss,1,5.096812,3.4593382,71,0.09,0.13,0.05,0.18,1.4849999999999999,68.15,17.9,0.0,21.4,0.27,0.07,22.3,75.2,36,83,28,66,2.97,5,0.22,26,28,13,4,6,416,56.6,37.7,679,1949,42,12,788,83,1,83,84,48.7
Billy Gilmour,0,8.304498,6.6487584,2,0.0,0.0,0.07,0.0,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,25.5,86.6,0,12,2,3,2.76,0,0.0,3,4,1,0,0,13,50.0,50.0,44,117,0,0,58,2,0,1,5,50.0
Bobby De Cordova-Reid,2,6.374444,6.4972844,14,0.12,0.24,0.1,0.15,1.4849999999999999,68.15,17.9,0.0,42.9,0.36,0.14,25.1,70.4,6,9,5,13,1.57,3,0.36,4,14,10,1,0,109,0.0,80.0,174,389,5,6,188,48,4,15,29,30.0
Boubacar Kamara,1,7.085223,3.0849082,16,0.0,0.0,0.02,0.05,1.4849999999999999,68.15,17.9,0.0,14.3,0.06,0.0,21.1,89.2,10,82,8,24,1.48,2,0.12,20,54,26,7,17,118,33.3,33.3,517,1121,11,1,673,7,0,1,73,42.5
Boubakary Soumaré,1,7.063494,2.8383324,31,0.0,0.0,0.01,0.02,1.4849999999999999,68.15,17.9,0.0,0.0,0.0,0.0,23.4,86.7,11,90,13,34,1.56,3,0.14,18,30,12,8,24,150,61.4,29.5,788,1881,16,3,929,21,0,8,130,69.0
Brajan Gruda,2,6.239979,5.5663977,16,0.0,0.53,0.07,0.27,1.4849999999999999,68.15,17.9,0.0,50.0,0.35,0.0,16.8,73.5,15,7,10,27,4.77,4,0.71,6,14,7,0,2,144,39.1,43.5,152,491,17,10,170,47,1,18,19,42.9
Brennan Johnson,2,3.555776,6.039134,57,0.48,0.13,0.43,0.1,1.4849999999999999,68.15,17.9,0.0,37.7,0.86,0.21,11.4,71.0,19,25,35,46,1.99,7,0.3,26,31,15,3,4,466,43.2,50.0,527,1410,21,32,609,194,12,52,60,25.9
