player,club,market_value,rating
Willian,Fulham,€1.3M,67.4/67.4
Wesley Foderingham,West Ham United,€1.3M,59.7/60.9
Martin Dúbravka,Newcastle Utd.,€1.3M,62.2/62.2
Conor Townsend,Ipswich Town,€1.2M,58.7/58.7
Will Dennis,B'mouth,€1.2M,58.2/64.3
Cieran Slicker,Ipswich Town,€1.2M,54.7/61.6
James Milner,Brighton,€1.2M,66.2/66.2
Jonny Evans,Man Utd,€1.1M,60.4/60.4
Nathaniel Clyne,C. Palace,€1M,62.0/62.8
Steven Benda,Fulham,€1M,50.4/51.8
Kim Ji-Soo,Brentford,€1M,49.1/60.8
Marcus Bettinelli,Chelsea,€1M,55.5/56.3
Jamie Vardy,Leicester,€1M,67.3/69.5
Michail Antonio,West Ham United,€1.0M,70.2/70.2
Robin Olsen,Aston Villa,€0.9M,46.0/46.0
Ben Mee,Brentford,€0.9M,62.6/62.6
Danny Ward,Leicester,€0.9M,50.1/50.1
Kaden Rodney,C. Palace,€0.9M,59.0/71.0
Adam Lallana,Southampton,€0.9M,58.4/58.4
Łukasz Fabiański,West Ham United,€0.9M,64.4/64.4
Asmir Begović,Everton,€0.8M,61.2/61.2
Aaron Cresswell,West Ham United,€0.8M,62.6/62.6
Edmond-Paris Maghoma,Brentford,€0.8M,52.2/56.8
Brandon Austin,Tottenham,€0.8M,44.4/45.2
Joe Lumley,Southampton,€0.7M,58.4/58.4
John Ruddy,Newcastle Utd.,€0.7M,60.5/60.5
Séamus Coleman,Everton,€0.7M,59.8/59.8
Harry Amass,Man Utd,€0.7M,43.8/63.6
Jakub Stolarczyk,Leicester,€0.7M,52.8/54.8
Fraser Forster,Tottenham,€0.7M,52.4/52.4
Joel Ward,C. Palace,€0.7M,58.1/58.1
Harvey Davies,Liverpool,€0.6M,54.1/68.8
Alex McCarthy,Southampton,€0.6M,52.2/52.2
Tom King,Wolverhampton,€0.6M,51.1/51.1
Lucas Bergström,Chelsea,€0.6M,52.4/60.6
João Virgínia,Everton,€0.6M,51.7/54.4
Tom McGill,Brighton,€0.5M,49.8/53.1
Massimo Luongo,Ipswich Town,€0.5M,56.7/56.7
Alfie Whiteman,Tottenham,€0.5M,49.1/53.1
Remi Matthews,C. Palace,€0.4M,47.7/47.8
Mark Gillespie,Newcastle Utd.,€0.4M,43.7/44.7
Wayne Hennessey,Nottingham,€0.4M,45.4/45.4
Scott Carson,Man City,€0.4M,44.5/44.9
Tom Heaton,Man Utd,€0.4M,46.8/46.8
Ranel Young,Liverpool,€0.2M,43.6/60.6
Rento Takaoka,Southampton,€0.2M,32.6/32.6
Richard Olise,Chelsea,€90K,47.0/57.5
